Name,Comment,exclude,dna,overall
Heather Baldwin,,,TRUE,?
Kush Bhargava,,,TRUE,?
Ryan Bothma,,,TRUE,?
Kelvin Hastie,,,TRUE,?
Barbara McKenzie,,,TRUE,?
